id;name;description;duration;price
1;humming fearless;../fake-data/blob/hipster.txt;1955;13857.12
2;but underneath;../fake-data/blob/hipster.txt;21036;13167.89
3;although;../fake-data/blob/hipster.txt;2131;18365.28
4;cartel curriculum;../fake-data/blob/hipster.txt;26387;5260.18
5;script boohoo collection;../fake-data/blob/hipster.txt;20158;30164.56
6;athwart harmonious;../fake-data/blob/hipster.txt;31426;10543.81
7;waltz on;../fake-data/blob/hipster.txt;16933;6411.62
8;even;../fake-data/blob/hipster.txt;24107;24074.56
9;neuron;../fake-data/blob/hipster.txt;1023;11997.89
10;ha before;../fake-data/blob/hipster.txt;27741;30459.48
