id;transaction_type;amount;date_time;description
1;mid plate pianist;14338.11;2023-11-25T05:56:04;../fake-data/blob/hipster.txt
2;renaissance excepting;11939.77;2023-11-25T04:55:17;../fake-data/blob/hipster.txt
3;against;19126.76;2023-11-25T17:16:03;../fake-data/blob/hipster.txt
4;the forceful whose;20307.9;2023-11-25T10:37:24;../fake-data/blob/hipster.txt
5;inconsequential so;17558.53;2023-11-25T05:20:29;../fake-data/blob/hipster.txt
6;cut;26635.62;2023-11-25T14:24:20;../fake-data/blob/hipster.txt
7;yuck aha;7584.7;2023-11-25T17:36:43;../fake-data/blob/hipster.txt
8;sour;8850.25;2023-11-25T16:27:46;../fake-data/blob/hipster.txt
9;disaffiliate savory;28494.58;2023-11-25T17:05:49;../fake-data/blob/hipster.txt
10;on cave;31529.15;2023-11-25T14:20:11;../fake-data/blob/hipster.txt
