id;name;description;quantity_in_stock;price
1;involve indeed frail;../fake-data/blob/hipster.txt;19361;13407.39
2;an foodstuffs beast;../fake-data/blob/hipster.txt;5353;20736.55
3;silently huzzah;../fake-data/blob/hipster.txt;32053;32603.45
4;maestro per;../fake-data/blob/hipster.txt;20243;32539.55
5;wherever catalogue;../fake-data/blob/hipster.txt;15624;22581.57
6;visualise sweetly;../fake-data/blob/hipster.txt;30840;27765.48
7;gauntlet;../fake-data/blob/hipster.txt;13318;25501.15
8;kindly;../fake-data/blob/hipster.txt;8175;654.65
9;hmph app;../fake-data/blob/hipster.txt;4911;25655.55
10;active electricity;../fake-data/blob/hipster.txt;30175;26561.18
